phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,corpus
прицепились к весу багажа,прицепились,к,весу,datv,вес,sing,NOUN,прицепиться,VERB,тематив,taiga
к нему направился,направился,к,нему,datv,он,sing,NPRO,направиться,VERB,директив,taiga
к предстоящему отопительному сезону готовы,готовы,к,сезону,datv,сезон,sing,NOUN,готовый,ADJS,дестинатив,taiga
привлечения к уголовной ответственности,привлечения,к,ответственности,datv,ответственность,sing,NOUN,привлечение,NOUN,потенсив,taiga
принадлежащие ко дворцу службы,принадлежащие,к,дворцу,datv,дворец,sing,NOUN,принадлежащий,ADJF,квалификатив,taiga
выход к Чернорецкому переулку,выход,к,переулку,datv,переулок,sing,NOUN,выход,NOUN,директив,taiga
к которым направлен,направлен,к,которым,datv,который,plur,ADJF,направить,PRTS,директив,taiga
приговорить к пяти годам лишения свободы,приговорить,к,годам,datv,год,plur,NOUN,приговорить,INFN,дестинатив,taiga
привлек к исполнению преступления своего помощника Мирослава Корнуса,привлек,к,исполнению,datv,исполнение,sing,NOUN,привлечь,VERB,потенсив,taiga
к нему потянулись,потянулись,к,нему,datv,он,sing,NPRO,потянуться,VERB,директив,taiga
приговорил к пяти годам,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,taiga
"к "" сюрпризам "" готовиться",готовиться,к,сюрпризам,datv,сюрприз,plur,NOUN,готовиться,INFN,дестинатив,taiga
склонность к адюльтеру,склонность,к,адюльтеру,datv,адюльтер,sing,NOUN,склонность,NOUN,потенсив,taiga
привлечь к административной ответственности,привлечь,к,ответственности,datv,ответственность,sing,NOUN,привлечь,INFN,потенсив,taiga
прилегающую к Невскому,прилегающую,к,Невскому,datv,невский,sing,ADJF,прилегать,PRTF,директив,taiga
патронов к нему,патронов,к,нему,datv,он,sing,NPRO,патрон,NOUN,дестинатив,taiga
подошла к вопросу,подошла,к,вопросу,datv,вопрос,sing,NOUN,подойти,VERB,трансгрессив,taiga
готовится к стыковым матчам чемпионата Европы - YEAR против сборной Австрии,готовится,к,матчам,datv,матч,plur,NOUN,готовиться,VERB,дестинатив,taiga
обратился к патрульному,обратился,к,патрульному,datv,патрульный,sing,ADJF,обратиться,VERB,дестинатив,taiga
к мнению любителей футбола направили,направили,к,мнению,datv,мнение,sing,NOUN,направить,VERB,дестинатив,taiga
к NUM туру командой,командой,к,туру,datv,тур,sing,NOUN,команда,NOUN,темпоратив,taiga
