phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,,,,
прицепились к весу багажа,прицепились,к,весу,datv,вес,sing,NOUN,прицепиться,VERB,тематив,,,,
к нему направился,направился,к,нему,datv,он,sing,NPRO,направиться,VERB,директив,,,,
к предстоящему отопительному сезону готовы,готовы,к,сезону,datv,сезон,sing,NOUN,готовый,ADJS,дестинатив,,,,
привлечения к уголовной ответственности,привлечения,к,ответственности,datv,ответственность,sing,NOUN,привлечение,NOUN,потенсив,,,,
принадлежащие ко дворцу службы,принадлежащие,к,дворцу,datv,дворец,sing,NOUN,принадлежащий,ADJF,квалификатив,,,,
выход к Чернорецкому переулку,выход,к,переулку,datv,переулок,sing,NOUN,выход,NOUN,директив,,,,
к которым направлен,направлен,к,которым,datv,который,plur,ADJF,направить,PRTS,директив,,,,
приговорить к пяти годам лишения свободы,приговорить,к,годам,datv,год,plur,NOUN,приговорить,INFN,дестинатив,,,,
привлек к исполнению преступления своего помощника Мирослава Корнуса,привлек,к,исполнению,datv,исполнение,sing,NOUN,привлечь,VERB,потенсив,,,,
к нему потянулись,потянулись,к,нему,datv,он,sing,NPRO,потянуться,VERB,директив,,,,
приговорил к пяти годам,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
"к "" сюрпризам "" готовиться",готовиться,к,сюрпризам,datv,сюрприз,plur,NOUN,готовиться,INFN,дестинатив,,,,
склонность к адюльтеру,склонность,к,адюльтеру,datv,адюльтер,sing,NOUN,склонность,NOUN,потенсив,,,,
привлечь к административной ответственности,привлечь,к,ответственности,datv,ответственность,sing,NOUN,привлечь,INFN,потенсив,,,,
прилегающую к Невскому,прилегающую,к,Невскому,datv,невский,sing,ADJF,прилегать,PRTF,директив,,,,
патронов к нему,патронов,к,нему,datv,он,sing,NPRO,патрон,NOUN,дестинатив,,,,
подошла к вопросу,подошла,к,вопросу,datv,вопрос,sing,NOUN,подойти,VERB,трансгрессив,,,,
готовится к стыковым матчам чемпионата Европы - YEAR против сборной Австрии,готовится,к,матчам,datv,матч,plur,NOUN,готовиться,VERB,дестинатив,,,,
обратился к патрульному,обратился,к,патрульному,datv,патрульный,sing,ADJF,обратиться,VERB,дестинатив,,,,
к мнению любителей футбола направили,направили,к,мнению,datv,мнение,sing,NOUN,направить,VERB,дестинатив,,,,
к NUM туру командой,командой,к,туру,datv,тур,sing,NOUN,команда,NOUN,темпоратив,,,,
привлекли к уголовной ответственности,привлекли,к,ответственности,datv,ответственность,sing,NOUN,привлечь,VERB,потенсив,,,,
к зданию подъехал,подъехал,к,зданию,datv,здание,sing,NOUN,подъехать,VERB,директив,,,,
близка к максимуму,близка,к,максимуму,datv,максимум,sing,NOUN,близкий,ADJS,квалификатив,,,,
Прислушается к доводам заявителей КС,Прислушается,к,доводам,datv,довод,plur,NOUN,прислушаться,VERB,директив,,,,
относиться к главе министерства иностранных дел,относиться,к,главе,datv,глава,sing,NOUN,относиться,INFN,тематив,,,,
ожидаются к вечеру вторника,ожидаются,к,вечеру,datv,вечер,sing,NOUN,ожидаться,VERB,темпоратив,,,,
подготовили к совершению терактов на сирийской территории,подготовили,к,совершению,datv,совершение,sing,NOUN,подготовить,VERB,дестинатив,,,,
привело к резкому подорожанию услуг,привело,к,подорожанию,datv,подорожание,sing,NOUN,привести,VERB,трансгрессив,,,,
подходили ко мне,подходили,к,мне,datv,я,sing,NPRO,подходить,VERB,директив,,,,
отношения к законным просьбам и обоснованным заявлениям трудящихся»,отношения,к,просьбам,datv,просьба,plur,NOUN,отношение,NOUN,тематив,,,,
приговорили к двум годам колонии,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
спуска к воде,спуска,к,воде,datv,вода,sing,NOUN,спуск,NOUN,директив,,,,
подходит к молодому человеку,подходит,к,человеку,datv,человек,sing,NOUN,подходить,VERB,директив,,,,
готово к принятию такого законопроекта,готово,к,принятию,datv,принятие,sing,NOUN,готовый,ADJS,дестинатив,,,,
к этим новациям относитесь,относитесь,к,новациям,datv,новация,plur,NOUN,относиться,VERB,тематив,,,,
непричастна к покушению,непричастна,к,покушению,datv,покушение,sing,NOUN,непричастный,ADJS,квалификатив,,,,
доступ к персональным данным охотников,доступ,к,данным,datv,данные,plur,NOUN,доступ,NOUN,дестинатив,,,,
устремятся к нам,устремятся,к,нам,datv,мы,plur,NPRO,устремиться,VERB,директив,,,,
работать к востоку от хребта Ломоносова,работать,к,востоку,datv,восток,sing,NOUN,работать,INFN,директив,,,,
обратиться к президенту,обратиться,к,президенту,datv,президент,sing,NOUN,обратиться,INFN,дестинатив,,,,
пришел к выводу о незаконности его действий,пришел,к,выводу,datv,вывод,sing,NOUN,прийти,VERB,директив,,,,
приступила к работам,приступила,к,работам,datv,работа,plur,NOUN,приступить,VERB,трансгрессив,,,,
отнесся к начинаниям властей,отнесся,к,начинаниям,datv,начинание,plur,NOUN,отнестись,VERB,тематив,,,,
к обсуждению вопроса необходимо,необходимо,к,обсуждению,datv,обсуждение,sing,NOUN,необходимый,ADJS,темпоратив,,,,
к городским лесам относится,относится,к,лесам,datv,леса,plur,NOUN,относиться,VERB,квалификатив,,,,
Направились к кабинетам руководства»,Направились,к,кабинетам,datv,кабинет,plur,NOUN,направиться,VERB,директив,,,,
готов к созданию различного рода рабочих групп с любым заинтересованным государством по данной проблематике,готов,к,созданию,datv,создание,sing,NOUN,готовый,ADJS,дестинатив,,,,
шагом к членству в сообществе,шагом,к,членству,datv,членство,sing,NOUN,шагом,ADVB,дестинатив,,,,
относятся к попыткам пациентов,относятся,к,попыткам,datv,попытка,plur,NOUN,относиться,VERB,тематив,,,,
внимание к этой проблеме,внимание,к,проблеме,datv,проблема,sing,NOUN,внимание,NOUN,тематив,,,,
присоединиться к проекту,присоединиться,к,проекту,datv,проект,sing,NOUN,присоединиться,INFN,трансгрессив,,,,
Страсть к покупкам,Страсть,к,покупкам,datv,покупка,plur,NOUN,страсть,NOUN,потенсив,,,,
приступил к массовому выпуску NUM марта,приступил,к,выпуску,datv,выпуск,sing,NOUN,приступить,VERB,трансгрессив,,,,
готовятся к выборам губернатора Подмосковья , , В России ,,готовятся,к,выборам,datv,выбор,plur,NOUN,готовиться,VERB,дестинатив,
дополнением к существующим санитарно - эпидемиологическим требованиям к различным видам товаров на территории РФ,дополнением,к,требованиям,datv,требование,plur,NOUN,дополнение,NOUN,дестинатив,,,,
обеспечить к посткризисным условиям,обеспечить,к,условиям,datv,условие,plur,NOUN,обеспечить,INFN,темпоратив,,,,
относитесь к делу,относитесь,к,делу,datv,дело,sing,NOUN,относиться,VERB,тематив,,,,
обращаться к его услугам,обращаться,к,услугам,datv,услуга,plur,NOUN,обращаться,INFN,дестинатив,,,,
требования к новой боевой машине,требования,к,машине,datv,машина,sing,NOUN,требование,NOUN,дестинатив,,,,
приговорил к NUM годам колонии каждого,приговорил,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
относится к поколению самолетов,относится,к,поколению,datv,поколение,sing,NOUN,относиться,VERB,квалификатив,,,,
подойти к нему,подойти,к,нему,datv,он,sing,NPRO,подойти,INFN,директив,,,,
допустить к обсуждению,допустить,к,обсуждению,datv,обсуждение,sing,NOUN,допустить,INFN,дестинатив,,,,
к нему подошел,подошел,к,нему,datv,он,sing,NPRO,подойти,VERB,директив,,,,
ближе к полудню,ближе,к,полудню,datv,полдень,sing,NOUN,близкий,COMP,темпоратив,,,,
доступ к гражданским навигационным сигналам российской глобальной навигационной спутниковой системы ГЛОНАСС,доступ,к,сигналам,datv,сигнал,plur,NOUN,доступ,NOUN,потенсив,,,,
привлекался к уголовной ответственности за оборот наркотиков,привлекался,к,ответственности,datv,ответственность,sing,NOUN,привлекаться,VERB,потенсив,,,,
обратился к главе Следственного комитета,обратился,к,главе,datv,глава,sing,NOUN,обратиться,VERB,дестинатив,,,,
обращаясь к местным жителям,обращаясь,к,жителям,datv,житель,plur,NOUN,обращаться,GRND,дестинатив,,,,
приговорил к уплате NUM рублей штрафа,приговорил,к,уплате,datv,уплата,sing,NOUN,приговорить,VERB,дестинатив,,,,
причисленными к среднему классу,причисленными,к,классу,datv,класс,sing,NOUN,причислить,PRTF,квалификатив,,,,
к окончанию месяца евровалюта упала,упала,к,окончанию,datv,окончание,sing,NOUN,упасть,VERB,темпоратив,,,,
привлекавшийся к уголовной ответственности за совершение грабежа,привлекавшийся,к,ответственности,datv,ответственность,sing,NOUN,привлекаться,PRTF,потенсив,,,,
стремления к карьерному росту,стремления,к,росту,datv,рост,sing,NOUN,стремление,NOUN,потенсив,,,,
приговорили к NUM годам тюрьмы,приговорили,к,годам,datv,год,plur,NOUN,приговорить,VERB,дестинатив,,,,
доступ к основанию колонны,доступ,к,основанию,datv,основание,sing,NOUN,доступ,NOUN,потенсив,,,,
к осадкам присоединятся,присоединятся,к,осадкам,datv,осадка,plur,NOUN,присоединиться,VERB,квалификатив,,,,
относятся к компетенции правительства Санкт-Петербурга»,относятся,к,компетенции,datv,компетенция,sing,NOUN,относиться,VERB,квалификатив,,,,
ведет к железнодорожному переезду на улице Мира,ведет,к,переезду,datv,переезд,sing,NOUN,вести,VERB,директив,,,,
строился к Кубку конфедераций и ЧМ- NUM,строился,к,Кубку,datv,кубок,sing,NOUN,строиться,VERB,темпоратив,,,,
готовы к безопасной уборке крыш от снега,готовы,к,уборке,datv,уборка,sing,NOUN,готовый,ADJS,дестинатив,,,,
"призыв к действию """,призыв,к,действию,datv,действие,sing,NOUN,призыв,NOUN,потенсив,,,,
близкий к Кремлю,близкий,к,Кремлю,datv,кремль,sing,NOUN,близкий,ADJF,квалификатив,,,,
приступил к своим обязанностям,приступил,к,обязанностям,datv,обязанность,plur,NOUN,приступить,VERB,трансгрессив,,,,
условно и к штрафу в размере NUM тыс,условно,к,штрафу,datv,штраф,sing,NOUN,условно,ADVB,дестинатив,,,,
причастности к хакерским атакам,причастности,к,атакам,datv,атака,plur,NOUN,причастность,NOUN,квалификатив,,,,
"добавление к этому законопроекту до его рассмотрения палатой представителей """,добавление,к,законопроекту,datv,законопроект,sing,NOUN,добавление,NOUN,квалификатив,,,,
отошли к вице-губернатору Олегу Маркову,отошли,к,вице-губернатору,datv,вице-губернатор,sing,NOUN,отойти,VERB,дестинатив,,,,
обратимся к руководителю ФСИН Александру Реймеру,обратимся,к,руководителю,datv,руководитель,sing,NOUN,обратиться,VERB,дестинатив,,,,
поправки к закону,поправки,к,закону,datv,закон,sing,NOUN,поправка,NOUN,дестинатив,,,,
готово к переезду,готово,к,переезду,datv,переезд,sing,NOUN,готовый,ADJS,дестинатив,,,,
вернётся к видеосалонам,вернётся,к,видеосалонам,datv,видеосалон,plur,NOUN,вернуться,VERB,дестинатив,,,,
доступ к кредиту,доступ,к,кредиту,datv,кредит,sing,NOUN,доступ,NOUN,потенсив,,,,
приговорившего к трем годам лишения свободы начальника милиции общественной безопасности города Оха Сергея Панченко,приговорившего,к,годам,datv,год,plur,NOUN,приговорить,PRTF,дестинатив,,,,
курс к рублю,курс,к,рублю,datv,рубль,sing,NOUN,курс,NOUN,квалификатив,,,,
к ее экватору заканчивается,заканчивается,к,экватору,datv,экватор,sing,NOUN,заканчиваться,VERB,директив,,,,
к нам поступило,поступило,к,нам,datv,мы,plur,NPRO,поступить,VERB,дестинатив,,,,
доступ к почте граждан только по решению суда,доступ,к,почте,datv,почта,sing,NOUN,доступ,NOUN,потенсив,,,,
приводит к дополнительной нагрузке на экспортеров,приводит,к,нагрузке,datv,нагрузка,sing,NOUN,приводить,VERB,трансгрессив,,,,
приступить к решительным действиям,приступить,к,действиям,datv,действие,plur,NOUN,приступить,INFN,трансгрессив,,,,
внимание к тому немаловажному обстоятельству,внимание,к,обстоятельству,datv,обстоятельство,sing,NOUN,внимание,NOUN,тематив,,,,
приговорил к штрафу в NUM тысяч,приговорил,к,штрафу,datv,штраф,sing,NOUN,приговорить,VERB,дестинатив,,,,
подготовку к сезону,подготовку,к,сезону,datv,сезон,sing,NOUN,подготовка,NOUN,дестинатив,,,,
готовности к отопительному сезону от жилищной инспекции до NUM сентября,готовности,к,сезону,datv,сезон,sing,NOUN,готовность,NOUN,дестинатив,,,,
пройти к Егору Яковлеву,пройти,к,Егору,datv,егор,sing,NOUN,пройти,INFN,директив,,,,
приуроченных ко Дню Победы и майским праздникам в YEAR году,приуроченных,к,Дню,datv,день,sing,NOUN,приурочить,PRTF,дестинатив,,,,
привлекать к ответственности,привлекать,к,ответственности,datv,ответственность,sing,NOUN,привлекать,INFN,потенсив,,,,
к молодым девушкам присматриваются,присматриваются,к,девушкам,datv,девушка,plur,NOUN,присматриваться,VERB,директив,,,,
близкие к комитету,близкие,к,комитету,datv,комитет,sing,NOUN,близкие,NOUN,директив,,,,
привел к падению популярности других сервисов,привел,к,падению,datv,падение,sing,NOUN,привести,VERB,трансгрессив,,,,
запрещенного к показу,запрещенного,к,показу,datv,показ,sing,NOUN,запретить,PRTF,потенсив,,,,
отнестись к этому вопросу,отнестись,к,вопросу,datv,вопрос,sing,NOUN,отнестись,INFN,тематив,,,,
отнестись к этому,отнестись,к,этому,datv,это,sing,NPRO,отнестись,INFN,тематив,,,,
обратился к родителям и родственникам демонстрантов,обратился,к,родителям,datv,родитель,plur,NOUN,обратиться,VERB,дестинатив,,,,
доверие к людям,доверие,к,людям,datv,человек,plur,NOUN,доверие,NOUN,тематив,,,,
приступим к тренировкам,приступим,к,тренировкам,datv,тренировка,plur,NOUN,приступить,VERB,трансгрессив,,,,
приведет к миру,приведет,к,миру,datv,мир,sing,NOUN,привести,VERB,трансгрессив,,,,
подходить к его архитектурному облику,подходить,к,облику,datv,облик,sing,NOUN,подходить,INFN,квалификатив,,,,
к протестам местного населения и возражениям экологов добавятся,добавятся,к,протестам,datv,протест,plur,NOUN,добавиться,VERB,квалификатив,,,,
приводит к запутыванию фотонов,приводит,к,запутыванию,datv,запутывание,sing,NOUN,приводить,VERB,трансгрессив,,,,
взывал к гуманизму,взывал,к,гуманизму,datv,гуманизм,sing,NOUN,взывать,VERB,тематив,,,,
комментарии к закону,комментарии,к,закону,datv,закон,sing,NOUN,комментарий,NOUN,дестинатив,,,,
требования к Михайлову,требования,к,Михайлову,datv,михайлов,sing,NOUN,требование,NOUN,дестинатив,,,,
обратился к президенту РФ,обратился,к,президенту,datv,президент,sing,NOUN,обратиться,VERB,дестинатив,,,,
приступает своевременно к исполнению договора,приступает,к,исполнению,datv,исполнение,sing,NOUN,приступать,VERB,трансгрессив,,,,
приблизится к одному миллиону,приблизится,к,миллиону,datv,миллион,sing,NOUN,приблизиться,VERB,директив,,,,
готовится к новому рекорду,готовится,к,рекорду,datv,рекорд,sing,NOUN,готовиться,VERB,дестинатив,,,,
подходов к завершению работы над резолюцией Совета Безопасности ООН по мерам воздействия на КНДР,подходов,к,завершению,datv,завершение,sing,NOUN,подход,NOUN,дестинатив,,,,
подготовке к зиме,подготовке,к,зиме,datv,зима,sing,NOUN,подготовка,NOUN,дестинатив,,,,
стремятся к большому увеличению населения,стремятся,к,увеличению,datv,увеличение,sing,NOUN,стремиться,VERB,дестинатив,,,,
ближе к рассвету,ближе,к,рассвету,datv,рассвет,sing,NOUN,близкий,COMP,темпоратив,,,,
призыв к выносу,призыв,к,выносу,datv,вынос,sing,NOUN,призыв,NOUN,тематив,,,,
поспешил к травмированному сыну,поспешил,к,сыну,datv,сын,sing,NOUN,поспешить,VERB,директив,,,,
к вечеру должен,должен,к,вечеру,datv,вечер,sing,NOUN,должный,ADJS,темпоратив,,,,
привлечь к проблеме донорства,привлечь,к,проблеме,datv,проблема,sing,NOUN,привлечь,INFN,потенсив,,,,
доступ к которым,доступ,к,которым,datv,который,plur,ADJF,доступ,NOUN,потенсив,,,,
поворачивалась к залу,поворачивалась,к,залу,datv,зал,sing,NOUN,поворачиваться,VERB,директив,,,,
Ближе к завершению общественных слушаний,Ближе,к,завершению,datv,завершение,sing,NOUN,близкий,COMP,темпоратив,,,,
отправляют к психологам,отправляют,к,психологам,datv,психолог,plur,NOUN,отправлять,VERB,директив,,,,
сводились к следующему,сводились,к,следующему,datv,следующий,sing,ADJF,сводиться,VERB,дестинатив,,,,
ведет к полноправному вступлению третьей страны в Союз,ведет,к,вступлению,datv,вступление,sing,NOUN,вести,VERB,трансгрессив,,,,
ко мне поступало,поступало,к,мне,datv,я,sing,NPRO,поступать,VERB,дестинатив,,,,
