label,definition,examples,prep,case
0,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумевать и т.п.)","подразумеваться под словом, пониматься под вариативностью, понимать под молодостью",под,твор
1,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","действовать под нажимом, высказался под давлением",под,твор
2,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","числиться под номером, известна под названием, дом под номером",под,твор
3,Локатив,"местоположение предмета, место протекания действия","убит подо Ржевом, прятаться под столом, стоял под фонарём",под,твор
4,Ситуатив,"условия, при которых совершается действие; состояние субъекта, при котором он совершает действие","находиться под угрозой, работал под руководством, гулять под дождём",под,твор
5,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","по нём палка плачет, вздыхать по другом",по,предл
6,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","вспомнилось по прошествии, вопрошал по приезде",по,предл
7,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения",женщины в возрасте 45 и 38 лет,в возрасте,род
8,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",скончался в возрасте 89 лет,в возрасте,род
9,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","ушёл по ягоды, поездка по грибы",по,вин
10,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","дать по пять рублей, сыт по горло, войти по пояс, куртка по локоть",по,вин
11,Локатив,"местоположение предмета, место протекания действия","мелькать по правую руку, лежал по обе стороны дороги, текли по щекам, поездка по Закавказью, прошли по минам",по,вин
12,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","по апрель 1968 жертвами стали, помогает и по сей день",по,вин
13,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","надпись к портрету, готовить к Новому году, ложка к обеду, обращаюсь к друзьям, письмо к Онегину, приговорить к заключению, готовность к поездке, подготовка к нападению",к,дат
14,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","спешат к пастухам, подошёл к дому, зовут к самовару, поворот к беседке, крайний к окну, привлечь к себе, прислушаться к шуму",к,дат
15,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","относился к представителям, причислил к прочим, принадлежит к классу, одет к лицу, пришлось ко двору",к,дат
16,Потенсив,"наклонность субъекта; потенциальное действие, часто нежелательное","приглашение к обеду, расположен к разговорам, приучила к постоянству, призыв к работе, склонность к литературе, глухие к поэзии, устойчивый к условиям",к,дат
17,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","любовь к науке, внимателен к ученикам, признательность к прошлому",к,дат
18,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","к моменту публикации сняты, откроют к ноябрю, вернулся к обеду, к девяти месяцам 2001 года составил",к,дат
19,Трансгрессив,изменение состояния; обозначение фазы действия,"приступил к трапезе, вернулся к разговору, перешёл к сооружению, подошли к реставрации",к,дат
20,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","поступило порядка 10 жалоб, сумму порядка 350-400 евро",порядка,род
21,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",уходит порядка шести месяцев,порядка,род
22,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","достать из кармана, принести из библиотеки, несло из кухни, исследовать из космоса, звонили из музея",из,род
23,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)","пить из кружки, стрелять из винтовки, поливать из лейки",из,род
24,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","спросил из любопытства, отнять из баловства",из,род
25,Квалитатив,"внешняя или внутренняя характеристика предмета или действия; материал, из которого изготовлен предмет","футляр из кожи, лепить из глины, скатать из войлока",из,род
26,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","происходить из крестьян, губернатор из молодых",из,род
27,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","состоять из 3 частей, экипаж из двух человек",из,род
28,Сурсив,"источник информации, исхождения света, запаха, тепла, вкуса","узнал из газет, цитата из разговора, черпать из книг",из,род
29,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","письма из прошлого, воспоминания из детства, вернуться из рейса",из,род
30,Трансгрессив,изменение состояния; обозначение фазы действия,"выпутаться из переделки, вывести из задумчивости, вышла из него бездарность, превращение из куколки, метафорфоза из шута",из,род
31,Локатив,"местоположение предмета, место протекания действия","дожидался между деревьев, затерялся между хлебов",между,род
32,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","наслаждения меж горестей, пора меж волка и собаки",между,род
33,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","сам с ноготок, посёлку с полгода, прибежало с полсотни собак",с,вин
34,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",прооперировали с месяц назад,с,вин
35,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)","печатание на машинке, тереть на тёрке, ехать на велосипеде, говорил на французском, испечь на дрожжах",на,предл
36,Локатив,"местоположение предмета, место протекания действия","произошло на мосту, сияет на небе, штаны на ногах",на,предл
37,Объект,непосредственный объект действия,"жениться на крестьянке, сказаться на настроении, отражаться на результатах, основываться на исследовании, базироваться на достижении, зиждется на понимании, строится на обвинениях",на,предл
38,Потенсив,"наклонность субъекта; потенциальное действие, часто нежелательное",настаивал на аресте,на,предл
39,Ситуатив,"условия, при которых совершается действие; состояние субъекта, при котором он совершает действие","сидел на шее у матери, быть на военном положении, дверь на замке, воевать на пределе возможностей",на,предл
40,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","специализируется на микробах, сконцентрироваться на работе, фокусироваться на задаче, акцентировать на проблеме, остановился на вопросе",на,предл
41,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","встретились на прошлой неделе, скончался на 87 году жизни, вернулся на исходе дня, сказал на заседании, забил гол на 6 минуте",на,предл
42,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","отправиться на поиски, шерсть на чулки, променял на вола, расход на анализы, идёт на изготовление, цена на товары, идти на службу, прийти на выручку, вносить на память в книгу, носить на счастье, пришли на доклад, выделить на реставрацию, тратится на материал, отдам на съеденье, ведут на водопой, позвать на помощь, организовать на преодоление, запрограммирован на продолжительность, годится на крышу",на,вин
43,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","двигаться на Север, посадка на орбиту, вид на город, накинуть на плечи, повеяло на него, напустить на лицо, посмотреть на пришедшего, низал на нить, ориентирована на добро",на,вин
44,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)","ловить на удочку, запереть на замок, купить на медные",на,вин
45,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","прибежал на крик, отозвался на звонок, ответила на письма",на,вин
46,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","походить на оригинал, похож на брата, клубы на все вкусы",на,вин
47,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","разделить на две части, шумела на всю тайгу, усы на семь вёрст, стал на 1 % больше, хватило на четверых, разлетелся на черепки",на,вин
48,Объект,непосредственный объект действия,"действовать на нервы, сказаться на здоровье, влиять на результаты",на,вин
49,Потенсив,"наклонность субъекта; потенциальное действие, часто нежелательное","горазд на выходки, скупа на признания, мастер на выдумки, решился на преступление, пуститься на хитрости, щедра на встречи, курс на порядок, надежда на Москву, экзамен на выносливость, ставка на методы, подбить на дело, спрос на товары, талант на рисование, мораторий на проведение, заявки на спектакли, ориентация на результат, способный на ассоциации, заказ на доставку, упражнения на гибкость",на,вин
50,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","на злобу дня, на смерть поэта, карикатуры на больных, клеветать на себя, донос на гетмана, обида на слова, сердит на себя, жаловаться на меня",на,вин
51,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","заключён на период, на этот год составили, доступно на данный момент, опоздал на одну минуту",на,вин
52,Трансгрессив,изменение состояния; обозначение фазы действия,"уход на пенсию, вышел на свободу, появиться на свет",на,вин
53,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумевать и т.п.)","состоять в правде, заключаться в деньгах",в,предл
54,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","жил в кучерах, оставшиеся в живых",в,предл
55,Локатив,"местоположение предмета, место протекания действия","находится в Москве, сидит в углу, потемнело в глазах, лежит в столе, содержатся в масле",в,предл
56,Ситуатив,"условия, при которых совершается действие; состояние субъекта, при котором он совершает действие","сияет во мраке, находясь в отчаянии, пребывали в радости, был в родстве, находиться в подчинении",в,предл
57,Сурсив,"источник информации, исхождения света, запаха, тепла, вкуса","прочитать в книге, увидеть в сериале, сообщают в пресс-службе",в,предл
58,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","неразбериха в учёте, ошибки в работе, называется в живописи, освоение в сфере, обвинить в краже, подозревать в измене, уличить в обмане",в,предл
59,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","в январе зафиксировано, в 1956-57 годах успел, дебютирует в сезоне",в,предл
60,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов",схож с портретом,с,твор
61,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","Татьяна с Ольгой, листовка с призывом, невеста с образованием, дом с мезонином, глаза с поволокой, явится с поклоном",с,твор
62,Объект,непосредственный объект действия,"разговаривать с коллегами, дружил с Васей, воевать с турками, щепетильничать с соседями",с,твор
63,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","помощь с задачками, с матушкой дурно",с,твор
64,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","хорошеет с годами, расцветает с каждой осенью",с,твор
65,Трансгрессив,изменение состояния; обозначение фазы действия,"соединить с остатком, слились с толпой",с,твор
66,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие",экстремизм относительно партии «Яблоко»,относительно,род
67,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","курс относительно рубля, положение относительно Солнца, увеличился относительно уровня 2005",относительно,род
68,Тематив,"тема, повод, предмет речемыслительного акта, эмоционального переживания; сфера, область действия","комментарий относительно заявления, информация относительно личного состава",относительно,род
69,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)","следить через иллюминаторы, выражается через слово, поблагодарить через газету",через,вин
70,Локатив,"местоположение предмета, место протекания действия","побежали через дорогу, несёт через леса, живут через дорожку, стоит через дом",через,вин
71,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","получила через месяц, только через час появилась",через,вин
72,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","бой за Москву, постоим за Родину, поездка за грибами, послать за доктором",за,твор
73,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","следовать за мыслями, держался за ""Москвичом""",за,твор
74,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","упразднили за ненадобностью, запертый за ненужностью",за,твор
75,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","письмо за подписью, приказ за номером, числиться за отцом, замужем за чиновником, сохраняется за слушателями",за,твор
76,Локатив,"местоположение предмета, место протекания действия","скрыться за углом, мороз за окнами, лес за полем, кроются за словами",за,твор
77,Объект,непосредственный объект действия,"наблюдать за ребёнком, следить за порядком, ухаживать за девушкой, контроль за изменениями",за,твор
78,Ситуатив,"условия, при которых совершается действие; состояние субъекта, при котором он совершает действие","разговаривать за работой, шум за столом, сидеть за пряжей",за,твор
79,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","следующего за годом его получения, летят за днями дни",за,твор
80,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения",получат в районе 100 - 150 тысяч рублей,в районе,род
81,Локатив,"местоположение предмета, место протекания действия",в районе падения самолета наблюдалась,в районе,род
82,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",случилось в районе часа ночи,в районе,род
83,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта",покраснел после ожога,после,род
84,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов",второй после Венесуэлы,после,род
85,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",встретился после саммита,после,род
86,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие",направил на имя генерального прокурора,на имя,род
87,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","оформленное на имя наркодилера, документы на имя Иванова И.И.",на имя,род
88,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","краснеть при мысли, отвращение при упоминании",при,предл
89,Квалитатив,"внешняя или внутренняя характеристика предмета или действия; материал, из которого изготовлен предмет",офицер при мундире,при,предл
90,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","работа при содействии, выполнется при поддержке",при,предл
91,Локатив,"местоположение предмета, место протекания действия","содержать при гостинице, служил при дворце, числился при редакции",при,предл
92,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","при личном досмотре обнаружено, ударил при попытке задержания, при странных обстоятельствах скончалась",при,предл
93,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","участок под ячмень, котелок под уху, отведённых под музей",под,вин
94,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","течёт под камень, бросилась под поезд, подложить под спину, подкоп под забор",под,вин
95,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","под цвет зимы, подделывать под общий характер, подделки под Гоголя, окраска под бронзу",под,вин
96,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","женщина под пятьдесят, ростом под потолок",под,вин
97,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","вбежала под выстрелы, пел под гитару, движения под музыку",под,вин
98,Объект,непосредственный объект действия,"взять под руку, схватил под уздцы",под,вин
99,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","ожидается под Новый год, произошла под утро",под,вин
100,Трансгрессив,изменение состояния; обозначение фазы действия,"посадить под арест, пойти под суд, попасть под покровительство",под,вин
101,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","герой среди мальчишек, лучшая среди нас",среди,род
102,Локатив,"местоположение предмета, место протекания действия","спряталась среди деревьев, нашёл среди книг",среди,род
103,Ситуатив,"условия, при которых совершается действие; состояние субъекта, при котором он совершает действие","забыли среди суеты, увидел средь бала, спасли среди огня",среди,род
104,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","зашёл средь бела дня, распустились среди зимы",среди,род
105,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","На протяжении 5 километров двигался, обследовали на протяжении нескольких сотен метров",на протяжении,род
106,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",предстоит на протяжении ближайших пяти лет,на протяжении,род
107,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","недостойный пред тобой, преимущество перед рентгеном",перед,твор
108,Локатив,"местоположение предмета, место протекания действия","стоять перед памятником, цветник перед домом",перед,твор
109,Объект,непосредственный объект действия,"сознаться перед женой, виновность перед графом",перед,твор
110,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","перед Новым годом раскупают, сказал перед допросом",перед,твор
111,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","покатилась с холма, смотрит с горы, девушка с Кубани, огурцы с огорода, потянуло с прудов, рассуждать с позиций модернизма",с,род
112,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)","кормить с ложки, есть со сковородки",с,род
113,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","помру с голода, обратился с разрешения",с,род
114,Сурсив,"источник информации, исхождения света, запаха, тепла, вкуса","взял с купца, спрос с подчинённых",с,род
115,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","сохранить с 2015 ставку, с детства привык",с,род
116,Трансгрессив,изменение состояния; обозначение фазы действия,"начать с азов, снять с председателей",с,род
117,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумеватьи т.п.)","послал по почте, сказал по телефону, услышать по радио",по,дат
118,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","тоска по родине, скучаю по тебе, знать по работе, догадался по свету, женился по желанию, взял по настоянию",по,дат
119,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","превосходить по числу, сравняться по силе, изготовить по чертежам, вводить по графику",по,дат
120,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","переломать по одному, выплачивать по частям, у каждого по ребёнку, продолжительностью по часу",по,дат
121,Комитатив,"сопровождающий признак; характеристика сопутствия, наличия; указание на владельца, обладателя признака, предмета, лица; обозначение имени, прозвища, названия, номера","котёнок по имени Гав, лицеист по прозвищу Кюхля",по,дат
122,Локатив,"местоположение предмета, место протекания действия","текли по щекам, поездка по Закавказью, прошли по минам",по,дат
123,Объект,непосредственный объект действия,"бить по голове, стрелять по воробьям",по,дат
