Предлог,Падеж,Варианты,N,Хаген,Т. Ф. Ефремова,Ляшевская-Шаров,Викисловарь,МАС,Opencorpora,ХАНКО,НКРЯ,SemSyn,Рогожникова,Шведова,Иомдин,Комментарий
а-ля,Им,,7,+,+,+,+,-,+,,+,,,-,+,
без,Род,безо,10,+,+,+,+,+,+,+,+,,,+,+,
без ведома,Род,,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,+,+,+,-,-,
без оглядки на,Вин,,1,,-,-,-,-,,-,+,,-,-,-,"МАС: без оглядки – уст. сочетание
Вики: без оглядки – уст. сочет, исп в кач-ве наречия"
без помощи,Род,,4,,-,-,-,-,,+,+,+,-,+,-,
без разрешения,Род,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
без согласия,Род,,2,,+,-,-,-,,-,+,,-,-,-,
без согласия на то,,,1,,-,-,-,-,,-,+,,-,-,-,
без согласования с,Твор,без согласования со,1,,-,-,-,-,,-,+,,-,-,-,Вариант: без согласования со
без сопровождения,"Род, Твор",,4,,-,-,-,-,,+,+,+,-,+,-,
благодаря,Дат,,10,+,+,+,+,+,+,+,+,,,+,+,
близ,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
близко от,Род,близко ото,1,,-,-, устойчивое сочетание (предлог). Исп. в кач-ве наречной группы,-,,-,-,,-,-,-,"МАС: близко – нареч.
НКРЯ: омонимия снята, наречие + предлог"
боком к,Дат,"к dat боком
ко dat боком
боком ко",1,,-,-,-,-,,-,+,,-,-,-,"МАС: боком – нареч.
Вики: боком – нареч."
в,"Вин, Предл",во,10,+,+,+,+,+,+,+,+,,,+,+,
в авангард,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в авангарде,Род,,3,,-,-,Устойчивое сочетание,Устойч. выражение,,-,+,,-,-,-,
в адрес,Род,,8,+,+,-,Устойчивое сочетание,Устойч. выражение,,+,+,,+,+,-,
вблизи,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
вблизи от,Род,вблизи ото,7,+,+,-,-,-,,+,+,+,+,+,-,
в бытность,"Твор, Род",,2,,-,-,-,Устойч. выражение,,-,+,,-,-,-,
вверх по,Дат,,2,,-,-,-,Предложное сочет. с дат. п.,,-,+,,-,-,-,Вики: вверх – нареч.
в видах,Род,,3,,-,-,Устойчивое сочетание,Устойч. выражение,,-,+,,-,-,-,
в виде,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойчивое сочетание,,+,+,+,+,+,+,
ввиду,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
в возрасте,Род,,3,,-,-,"Устойчивое сочетание, исп. в кач-ве прилаг.","Устойчивое сочетание, исп. в кач-ве прилаг.",,-,+,,-,-,-,
в глазах,Род,,4,+,+,-,-,Устойчивое сочетание,,-,+,,-,-,-,
в глубине,Род,,1,,-,-,-,-,,+,-,,-,-,-,"Вики: указаны уст. сочетания в глубине веков/души/леса
МАС: указаны уст. сочетания в глубине веков/души/сердца
НКРЯ: омонимия снята, предлог + сущ.; указаны наречные обороты в глубине души/сердца/веков"
в глубь,Род,,5,+,+,+,+,вглубь - наречие,вглубь,,вглубь,,+,вглубь,-,
в границах,Род,,4,,-,-,-,-,,+,+,+,-,+,-,
в границы,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия не снята, предлог + сущ."
вдалеке от,Род,вдалеке ото,8,+,+,-,-,Предложное сочет. с род. п.,,+,+,+,+,+,-,Вики: вдалеке – нареч.
вдали от,Род,вдали ото,8,+,+,-,-,Предложное сочет. с род. п.,,+,+,+,+,+,-,Вики: вдали – нареч.
в даль,Род,,0,,-,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в деле,Род,,6,+,+,-,-,-,,+,-,+,+,+,-,"НКРЯ: омонимия снята, предлог + сущ."
в дело,Род,,1,,-,-,-,-,,+,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
вдобавок к,Дат,вдобавок ко,3,+,+,-,-,-,,-,-,+,-,-,-,"МАС: вдобавок – нареч.
Вики: вдобавок – нареч.
НКРЯ: омонимия снята, наречие + сущ."
в довершение,Род,,3,,-,-,-,Устойчивое сочетание,,+,+,,нареч.,-,-,
вдогон,Дат,,4,+,+,-,Нареч. в знач. предлога,нареч.,нареч.,,+,,,-,-,
вдогон за,Твор,,1,,+,-,-,-,,-,-,,-,-,-,"НКРЯ: омонимия не снята, наречие/предлог + предлог"
вдогонку,Дат,,3,+,+,-,нареч.,нареч.,нареч.,в догонку,+,,,-,-,
вдогонку за,Твор,,2,,+,-,-,-,,в догонку за,+,,-,-,-,
вдогоночку,Дат,,1,,+,-,-,-,-,,-,,,-,-,
в доказательство,Род,,2,,-,-,-,-,,+,+,,-,-,-,
в должности,Род,,1,,-,-,-,-,,-,+,,-,-,-,МАС: указано уст. сочетание в должность 
вдоль,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
вдоль по,Дат,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Предложное сочетание,,+,+,+,+,-,-,
в дополнение,Род,,3,,+,-,-,Устойч. сочетание,,+,-,,нареч.,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в дополнение к,Дат,в дополнение ко,3,+,-,-,-,-,,-,+,+,нареч.,-,-,
в духе,Род,,8,+,+,-,-,Устойч. сочетание,,+,+,+,+,+,-,
верхом на,Предл,,1,,-,-,-,-,,-,-,+,-,-,-,"Вики: верхом – нареч.
МАС: верхом – нареч.
НКРЯ: омонимия снята, наречие + предлог"
в завершение,Род,,4,+,+,-,-,-,,+,+,,-,-,-,
в зависимости от,Род,в зависимости ото,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,
в заключение,Род,,8,+,+,-,Устойчивое сочетание,Устойч. сочетание,,+,+,+,+,-,-,
взамен,"Род, Дат",,9,+,+,+,+,+,+,Нареч.,+,,,+,+,Ханко: всего 1 контекст
в замену,"Род, Дат",,2,,-,-,-,-,,+,+,,-,-,-,
в зачёт,"Род, Дат",в зачет,3,,-,-,-,Устойч. сочетание,,+,+,,-,-,-,
в защиту,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в знак,Род,,9,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,+,+,+,-,
в интересах,Род,,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,+,,+,+,-,
в ипостаси,Род,,5,,-,-,Устойч. сочетание,Устойч. сочетание,,+,+,,-,+,-,
в исходе,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,
в качестве,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,+,
включая,Вин,,9,+,+,+,+,+,+,+,+,,,+,-,
в количестве,Род,,2,,-,-,-,-,,+,+,,-,-,-,
в компании,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в компании с,Твор,в компании со,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,
в контраст,Дат,,3,,-,-,-,-,,+,+,,-,+,-,
в конце,Род,,4,,-,-,"Устойчивое сочетание
?",-,,+,+,+,-,-,-,"Вики: нет статьи, но указан как антоним для «в начале»"
в кровь,,,3,,-,-,Устойчивое сочетание,Устойч. сочетание,,-,+,,-,-,-,"МАС: наречный оборот
Вики: ?"
вкруг,Род,,8,+,+,+,+,+,+,,+,,,-,+,
вкупе с,Твор,вкупе со,4,,-,-,Устойчивое сочетание,-,,+,+,+,-,-,-,МАС: вкупе – нареч.
влево от,Род,влево ото,2,,-,-,-,-,,+,+,,-,-,-,"МАС: влево – нареч.
Вики: влево – нареч."
в лице,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,-,-,МАС: предложный оборот
в манере,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
в меру,Род,,5,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,-,,нареч.,-,-,"МАС: наречный оборот
НКРЯ: омонимия снята, наречный оборот"
вместе с,Твор,вместе со,8,+,+,-,Устойчивое сочетание,-,,+,+,+,+,+,-,МАС: наречный оборот с предлогом 
вместо,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
в мире,Род,,1,,-,-,-,-,,-,+,,-,-,-,
в направлении,Род,,7,+,+,-,-,-,,+,+,+,+,+,-,
в направлении к,Дат,в направлении ко,6,+,+,-,-,-,,+,-,+,+,+,-,"НКРЯ: омонимия снята, предложный оборот + предлог ?"
в направлении на,Вин,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предложный оборот + предлог ?"
в направлении от,Род,в направлении ото,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия не снята, предложный оборот + предлог ?"
в нарушение,Род,,5,+,+,-,-,-,,+,+,,+,-,-,
в начале,Род,,4,,-,-,Устойчивое сочетание,-,,+,+,+,-,-,-,
вне,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
вне границ,Род,,4,,-,-,-,-,,+,+,+,-,+,-,
вне зависимости от,Род,вне зависимости ото,6,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,-,+,+,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
вне пределов,Род,,4,,-,-,-,-,,+,+,+,-,+,-,
вне рамок,Род,,3,,-,-,-,-,,+,+,,-,+,-,
в нескольких шагах от,Род,в нескольких шагах ото,1,,-,-,-,-,,-,-,+,-,-,-,"МАС: в нескольких шагах – уст. сочет.
НКРЯ: омонимия снята, предлог + числит. + сущ. + предлог"
вне сферы,Род,,3,,-,-,-,-,,+,+,,-,+,-,
вниз по,Дат,,3,,-,-,Предложное сочетание с дат.п.,-,,+,+,,-,-,-,Вики: указаны уст. сочетания вниз по лестнице/течению
внизу,Род,,6,+,-,+,+,+,+,,+,,,-,-,
в ногу с,Твор,в ногу со,1,,-,-,-,-,,-,+,,-,-,-,"МАС: указано уст. сочетание идти/шагать в ногу
Вики: указаны уст. сочетания в ногу, идти в ногу со временем"
внутри,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
внутрь,Род,,9,+,+,+,+,+,+,Нареч.,+,,,+,+,Ханко: всего 1 контекст
в области,Род,,7,+,+,-,-,-,,+,+,+,+,+,-,
в область,Род,,3,,-,-,-,-,,+,+,+,-,-,-,МАС: указано уст. сочетание отойти в область предания (или воспоминаний и т. п.)
в обмен на,Вин,,4,+,+,-,-,-,,+,-,,+,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
в обнимку с,Твор,в обнимку со,1,,-,-,-,-,,-,-,+,нареч.,-,-,"МАС: в обнимку – уст. сочетание
НКРЯ: омонимия снята, наречный оборот + предлог"
в обстановке,Род,,5,+,+,-,-,-,,+,+,,+,-,-,
в обход,"Род, Дат",,7,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,-,+,+,-,-,"МАС: контексты с предложным оборотом
НКРЯ: омонимия снята, наречный оборот"
во вкусе,Род,,3,,-,-,-,Устойч. сочетание,,-,+,,+,-,-,МАС: контексты с предложным оборотом
во власти,Род,,3,,-,-,-,Устойч. сочетание,,+,+,,-,-,-,МАС: контексты с предложным оборотом
вовнутрь,Род,,7,+,+,-,+,+,+,,+,,,-,+,
во время,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,-,+,+,+,+,"НКРЯ: омонимия снята, предлог + сущ."
во главе,Род,,8,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,+,+,+,-,-,"МАС: контексты с предложным оборотом
Вики: нет статьи, но указано как во главе (чего-либо)"
во главе с,Твор,во главе со,8,+,+,-,"Устойч. сочетание
?",Устойч. сочетание,,+,+,+,+,-,-,"МАС: контексты с предложным оборотом
Вики: нет статьи, но указано как во главе (с кем-либо)"
в одно время с,Твор,в одно время со,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + мс-прил. + сущ. + предлог"
в одном из,Род,"в одном изо
в одной из
в одной изо",1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + мс-прил. + предлог"
